movielens_title_id,imdb_title_id,title,year,duration,description,num_ratings,ave_rating
23,tt0112401,Assassins,1995,132,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,16,3.125
24,tt0114168,Powder,1995,111,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,28,3.125
25,tt0113627,Leaving Las Vegas,1995,111,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",76,3.625
26,tt0114057,Othello,1995,123,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",13,3.5
27,tt0114011,Now and Then,1995,100,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,9,3.3333333333333335
31,tt0112792,Dangerous Minds,1995,99,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,38,3.1842105263157894
34,tt0112431,Babe,1995,91,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",128,3.65234375
36,tt0112818,Dead Man Walking,1995,122,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",67,3.8358208955223883
38,tt0113442,It Takes Two,1995,101,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",4,2.125
39,tt0112697,Clueless,1995,97,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",104,3.293269230769231
40,tt0112749,"Cry, the Beloved Country",1995,106,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",2,4.25
41,tt0114279,Richard III,1995,110,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,15,3.7
42,tt0112819,Dead Presidents,1995,119,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",7,3.0
43,tt0114272,Restoration,1995,117,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",8,3.1875
44,tt0113855,Mortal Kombat,1995,101,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,46,2.5434782608695654
45,tt0114681,To Die For,1995,106,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,32,3.3125
46,tt0113347,How to Make an American Quilt,1995,117,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,15,3.066666666666667
48,tt0114148,Pocahontas,1995,81,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,68,3.1470588235294117
49,tt0114916,When Night Is Falling,1995,94,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",1,3.0
52,tt0113819,Mighty Aphrodite,1995,95,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",28,3.4642857142857144
55,tt0113158,Georgia,1995,115,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,1,4.0
57,tt0113321,Home for the Holidays,1995,103,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",8,3.0625
61,tt0116260,Eye for an Eye,1996,101,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6,3.75
62,tt0113862,Mr. Holland's Opus,1995,143,A frustrated composer finds fulfillment as a high school music teacher.,80,3.70625
63,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,89,"A parody of several U.S. films about being in the 'Hood', for instance",7,2.7142857142857144
65,tt0115683,Bio-Dome,1996,88,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",31,2.532258064516129
66,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996,93,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",9,2.5
69,tt0113118,Friday,1995,91,"Two homies, Smokey and Craig Jones, smoke a dope dealer's weed and try to figure a way to get the two hundred dollars they owe to the dealer by 10 p.m. that same night.",20,3.775
70,tt0116367,From Dusk Till Dawn,1996,108,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",55,3.5090909090909093
71,tt0113010,Fair Game,1995,91,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",5,1.7
72,tt0113537,Kicking and Screaming,1995,96,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",7,3.2142857142857144
74,tt0115644,Bed of Roses,1996,87,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",8,4.0
75,tt0115676,Big Bully,1996,90,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",5,2.2
76,tt0114367,Screamers,1995,108,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience.",15,3.4
81,tt0114660,Things to Do in Denver When You're Dead,1995,115,Five different criminals face imminent death after botching a job quite badly.,14,3.107142857142857
83,tt0114039,Once Upon a Time... When We Were Colored,1995,115,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,1,3.0
85,tt0112365,Angels and Insects,1995,116,In the 1800s a naturalist marries into a family of British country gentry.,7,3.857142857142857
86,tt0118158,White Squall,1996,129,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,15,3.966666666666667
87,tt0116151,Dunston Checks In,1996,88,A young boy befriends a larcenous orangutan in a luxury hotel.,7,2.5
88,tt0115697,Black Sheep,1996,87,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,16,3.15625
89,tt0113972,Nick of Time,1995,90,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",10,3.25
92,tt0117002,Mary Reilly,1996,108,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",8,2.625
93,tt0114825,Vampire in Brooklyn,1995,100,"A ship sails into Brooklyn with all its crew dead. But something gets off and the killing continues on land. The vampire is looking for a specific woman - half-human, half-vampire. Rita's the cop detective investigating the many killings.",9,2.8333333333333335
94,tt0115639,Beautiful Girls,1996,112,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,10,3.95
95,tt0115759,Broken Arrow,1996,108,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,84,3.0238095238095237
96,tt0113403,In the Bleak Midwinter,1995,99,"A group of theater actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys.",1,3.5
100,tt0115907,City Hall,1996,111,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",14,2.7857142857142856
101,tt0115734,Bottle Rocket,1996,91,Three friends plan to pull off a simple robbery and go on the run.,23,3.782608695652174
102,tt0117102,Mr. Wrong,1996,96,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll and Hyde true nature.",5,2.4
103,tt0118040,Unforgettable,1996,117,"A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case.",3,3.0
104,tt0116483,Happy Gilmore,1996,92,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,99,3.4393939393939394
107,tt0117110,Muppet Treasure Island,1996,99,The Muppets' twist on the classic tale.,26,3.326923076923077
110,tt0112573,Braveheart,1995,178,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,237,4.031645569620253
111,tt0075314,Taxi Driver,1976,114,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",104,4.105769230769231
113,tt0115645,Before and After,1996,108,Two parents deal with the effects when their son is accused of murdering his girlfriend.,3,3.3333333333333335
118,tt0116606,If Lucy Fell,1996,92,"Two NYC roomies have a pact to jump off Brooklyn Bridge, if they haven't found life partners before she's 30. That's less than a month away.",2,2.5
122,tt0103859,Boomerang,1992,117,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,16,2.65625
132,tt0113451,Jade,1995,95,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.",6,2.8333333333333335
135,tt0116130,Down Periscope,1996,92,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",31,2.9516129032258065
137,tt0113756,Man of the Year,1995,86,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling...",1,3.0
145,tt0112442,Bad Boys,1995,119,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,51,3.2450980392156863
149,tt0109093,Amateur,1994,105,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.",1,2.0
150,tt0112384,Apollo 13,1995,140,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,201,3.845771144278607
151,tt0114287,Rob Roy,1995,139,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",44,3.5454545454545454
153,tt0112462,Batman Forever,1995,121,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",137,2.9160583941605838
155,tt0112495,Beyond Rangoon,1995,100,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she...",6,2.4166666666666665
156,tt0112541,Blue in the Face,1995,83,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",3,3.3333333333333335
157,tt0109370,Canadian Bacon,1995,91,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",11,2.8636363636363638
158,tt0112642,Casper,1995,100,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,62,2.806451612903226
159,tt0112688,Clockers,1995,128,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",14,2.892857142857143
160,tt0112715,Congo,1995,109,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",57,2.8771929824561404
161,tt0112740,Crimson Tide,1995,116,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",103,3.6359223300970873
163,tt0112851,Desperado,1995,104,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,66,3.5606060606060606
164,tt0112857,Devil in a Blue Dress,1995,102,"An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal.",14,3.3214285714285716
165,tt0112864,Die Hard: With a Vengeance,1995,128,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.",144,3.5555555555555554
168,tt0113071,First Knight,1995,134,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",54,3.0833333333333335
169,tt0113114,Free Willy 2: The Adventure Home,1995,95,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,10,2.4
170,tt0113243,Hackers,1995,105,Hackers are blamed for making a virus that will capsize five oil tankers.,35,3.2285714285714286
171,tt0113464,Jeffrey,1995,92,"Jeffrey, a young gay man in New York, decides that sex is too much and decides to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ...",6,3.8333333333333335
172,tt0113481,Johnny Mnemonic,1995,103,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",53,2.6792452830188678
173,tt0113492,Judge Dredd,1995,96,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",62,2.6693548387096775
175,tt0113540,Kids,1995,91,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",20,3.975
176,tt0113677,Living in Oblivion,1995,90,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,13,4.3076923076923075
177,tt0113690,Lord of Illusions,1995,109,"A private detective gets more that he bargains for when he encounters Philip Swan, a performer whose amazing illusions captive the world, but they are not really what everyone thinks.",8,2.75
178,tt0107447,Love & Human Remains,1993,100,"Set in a dreary urban landscape of Edmonton, LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on ...",1,1.0
179,tt0113729,Mad Love,1995,93,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,2,1.5
180,tt0113749,Mallrats,1995,94,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",36,3.4027777777777777
181,tt0113820,Mighty Morphin Power Rangers: The Movie,1995,95,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",17,2.264705882352941
184,tt0110620,Nadja,1994,93,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ...",2,3.5
186,tt0113986,Nine Months,1995,103,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",48,2.8229166666666665
187,tt0114095,Party Girl,1995,94,"Party girl Mary gets bailed out of jail by her librarian godmother. She starts working at the library, slowly fills her empty brain.",4,4.125
189,tt0114241,Reckless,1995,91,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",1,3.0
190,tt0114323,Safe,1995,119,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,5,2.8
193,tt0114436,Showgirls,1995,128,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.",35,2.4714285714285715
194,tt0114478,Smoke,1995,112,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",18,3.6666666666666665
195,tt0114496,Something to Talk About,1995,106,A woman's world is rocked when she discovers her husband is cheating on her.,10,3.1
196,tt0114508,Species,1995,108,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,45,2.6666666666666665
198,tt0114558,Strange Days,1995,145,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,28,3.25
201,tt0114663,Three Wishes,1995,115,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realizing who he was, or the effect he would have on her life and those of her family.",1,3.0
202,tt0114702,Total Eclipse,1995,111,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",1,3.0
204,tt0114781,Under Siege 2: Dark Territory,1995,100,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",30,2.716666666666667
205,tt0114798,Unstrung Heroes,1995,93,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home ...",9,3.1666666666666665
208,tt0114898,Waterworld,1995,135,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",115,2.9130434782608696
209,tt0114928,White Man's Burden,1995,89,"In an alternative America where African-Americans and White Americans have reversed cultural roles, a white factory worker kidnaps a black factory owner for dismissing him over perceived disdain.",3,3.1666666666666665
210,tt0114938,Wild Bill,1995,98,The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,4,3.0
212,tt0112602,Bushwhacked,1995,90,"On the run from authorities, a sleazy courier poses as a Scout leader on a camping trip. But he has no idea what he's in for when he must actually take charge of a group of kids.",3,3.0
215,tt0112471,Before Sunrise,1995,101,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",24,4.041666666666667
216,tt0112508,Billy Madison,1995,89,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",49,3.326530612244898
218,tt0112571,Boys on the Side,1995,115,"Robin shares a ride in her car with Jane from New York to Los Angeles. They stop at Jane's friend Holly's place in Pittsburgh and take her with them west, making a long stop in Tucson. The three very different women become close friends.",14,3.4285714285714284
222,tt0112679,Circle of Friends,1995,103,"3 women, who've been friends since kids, meet at university in Dublin in 1957. Student and boyfriend life begins.",16,3.75
223,tt0109445,Clerks,1994,92,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",104,3.855769230769231
225,tt0109635,Disclosure,1994,128,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",52,3.5384615384615383
227,tt0109676,Drop Zone,1994,101,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,22,2.8636363636363638
228,tt0112854,Destiny Turns on the Radio,1995,102,"After 3 years in prison, Julian breaks out and returns to Vegas to get his half from the bank robbery and see Lucille again. The Devil took the loot and Tuerto took Lucille.",3,2.3333333333333335
229,tt0109579,Death and the Maiden,1994,103,A political activist is convinced that her guest is a man who once tortured her for the government.,7,3.4285714285714284
230,tt0109642,Dolores Claiborne,1995,132,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.,24,3.3958333333333335
233,tt0109759,Exotica,1994,103,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",12,3.5
234,tt0109758,Exit to Eden,1994,113,"Elliot heads for the sexual fantasy island, Eden. He takes some photos of diamond smugglers. They and undercover cops want the photos and follow him to Eden.",17,2.588235294117647
235,tt0109707,Ed Wood,1994,127,Ambitious but troubled movie director,70,3.6785714285714284
236,tt0113117,French Kiss,1995,111,"A woman flies to France to confront her straying fiancee, but gets into trouble when the charming crook seated next to her uses her for smuggling.",45,3.477777777777778
237,tt0113097,Forget Paris,1995,101,"Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.",22,3.340909090909091
240,tt0113303,Hideaway,1995,106,"Hatch gets a special resuscitative medicine after ""dying"" in a car accident. His wife and daughter only get minor injuries. He gets strange nightmares such as killing a teen girl. Is it just dreams?",4,2.375
241,tt0113089,Fluke,1995,96,"After a man dies in a car crash, he is reincarnated as a dog and attempts to reconnect with his family.",1,4.0
247,tt0110005,Heavenly Creatures,1994,99,"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.",21,3.9285714285714284
249,tt0110116,Immortal Beloved,1994,121,"The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to ...",18,3.7222222222222223
252,tt0110099,I.Q.,1994,100,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",43,3.453488372093023
253,tt0110148,Interview with the Vampire: The Vampire Chronicles,1994,123,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",109,3.458715596330275
254,tt0113463,Jefferson in Paris,1995,139,"One of the obsessive speculations in American history is whether Thomas Jefferson, in the years before he became president, had an affair with (and fathered a child with) his 15-year-old ...",1,3.0
256,tt0110216,Junior,1994,109,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",35,2.8285714285714287
257,tt0113501,Just Cause,1995,102,A Harvard professor is lured back into the courtroom after twenty-five years to take the case of a young black man condemned to death for the horrific murder of a child.,14,3.5
259,tt0113552,Kiss of Death,1995,101,A reformed convict goes undercover with the help of an angry detective to ensnare a psychotic mobster.,5,3.2
261,tt0110367,Little Women,1994,115,The March sisters live and grow in post-Civil War America.,42,3.880952380952381
263,tt0110296,Ladybird Ladybird,1994,101,This Ken Loach docu-drama relates the story of a British woman's fight with Social Services over the care of her children. Maggie has a history of bouncing from one abusive relationship to ...,1,4.0
266,tt0110322,Legends of the Fall,1994,133,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",68,3.3970588235294117
267,tt0110443,Major Payne,1995,95,A recently discharged Major finds himself commanding a group of mismatched Cadets.,17,2.9411764705882355
270,tt0110391,Love Affair,1994,108,"Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. Both engaged to others, they become romantic on board the ship sent to take ...",5,3.4
271,tt0113691,Losing Isaiah,1995,111,"The biological and adoptive mothers of a young boy are involved in a bitter, controversial custody battle.",4,3.5
274,tt0113755,Man of the House,1995,96,"A young boy refuses to accept his mother's new boyfriend, a lawyer, despite the man's attempts to win his respect. Meanwhile, disgruntled relative of a criminal he prosecuted seek revenge.",7,2.9285714285714284
275,tt0110538,Mixed Nuts,1994,97,The events focus around a crisis hotline business on one crazy night during the Christmas holidays.,6,2.0
276,tt0110516,Milk Money,1994,110,"A group of young boys befriend a prostitute named, V.",22,3.25
277,tt0110527,Miracle on 34th Street,1994,114,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,38,3.223684210526316
278,tt0113808,Miami Rhapsody,1995,95,"Gwyn begins doubting her ""yes"" to Matt's wedding proposal, when she hears about her parents' and brother's adultery.",2,1.5
279,tt0113896,My Family,1995,128,"A man makes his way from Mexico to L.A. in the 1920s, gets married and raises a big family there. The movie follows the children until they, too, get married and have children in the 1960s.",2,3.0
280,tt0113870,Murder in the First,1995,122,An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances: his client had just spent over three years in solitary confinement.,13,4.076923076923077
281,tt0110684,Nobody's Fool,1994,110,A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.,14,3.7857142857142856
282,tt0110638,Nell,1994,112,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",40,3.3375
283,tt0113967,New Jersey Drive,1995,98,"Jason and Midget are two young, black teenagers living in Newark,New Jersey, the unofficial car theft capital of the world. Their favourite pastime is that of everybody in their ...",3,3.6666666666666665
287,tt0110671,Nina Takes a Lover,1994,100,"When Ninas husband goes off for a few weeks to work, she meets and starts seeing a photographer. This story is told as an interview by a journalist writing about adultery who is talking ...",1,3.0
288,tt0110632,Natural Born Killers,1994,118,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,92,3.233695652173913
289,tt0110737,Only You,1994,109,"As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later - Faith is about to marry another man - a Damon Bradley calls to wish them all the best. Faith blows off the wedding and follows Damon to Italy.",8,3.5625
290,tt0110729,Once Were Warriors,1994,102,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,14,4.035714285714286
291,tt0114151,Poison Ivy II,1996,106,"First time out of Michigan, Lily starts art school in LA and shares a house with other young artistic people. Both her teacher and a roomie/classmate show interest in her.",3,2.3333333333333335
292,tt0114069,Outbreak,1995,127,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,101,3.4257425742574257
